tournament,team,placing,country,value
Krakow 2017,North,8,Denmark,0.193
Krakow 2017,Cloud9,9,USA,0.28
Krakow 2017,FlipSid3 Tactics,9,,0.319
Krakow 2017,G2 Esports,9,France,0.22399999999999998
Krakow 2017,Natus Vincere,12,CIS,0.513
Krakow 2017,mousesports,12,International,0.23600000000000002
Krakow 2017,PENTA Sports,12,International,0.193
Krakow 2017,FaZe Clan,15,International,0.309
Krakow 2017,Vega Squadron,15,CIS,0.183
MLG Columbus 2016,Luminosity Gaming,1,Brazil,0.584
MLG Columbus 2016,Natus Vincere,2,CIS,0.608
MLG Columbus 2016,Astralis,4,Denmark,0.6940000000000001
MLG Columbus 2016,Team Liquid,4,USA,0.562
MLG Columbus 2016,Ninjas in Pyjamas,8,Sweden,0.45899999999999996
MLG Columbus 2016,Fnatic,8,Sweden,0.405
MLG Columbus 2016,Counter Logic Gaming,8,USA,0.41200000000000003
MLG Columbus 2016,Virtus.pro,8,,0.51
MLG Columbus 2016,mousesports,12,International,0.38799999999999996
MLG Columbus 2016,FaZe Clan,12,International,0.547
MLG Columbus 2016,Gambit Gaming,12,,0.26
MLG Columbus 2016,G2 Esports,12,France,0.718
MLG Columbus 2016,FlipSid3 Tactics,16,,0.45299999999999996
MLG Columbus 2016,Splyce,16,USA,0.389
MLG Columbus 2016,Team EnVyUs,16,France,0.434
MLG Columbus 2016,Cloud9,16,USA,0.907
DreamHack 2014,Team LDLC.com,1,France,2.093
DreamHack 2014,Ninjas in Pyjamas,2,Sweden,1.778
DreamHack 2014,Virtus.pro,4,,1.79
DreamHack 2014,Natus Vincere,4,CIS,2.812
DreamHack 2014,HellRaisers,8,CIS,2.5180000000000002
DreamHack 2014,PENTA Sports,8,International,1.875
DreamHack 2014,Fnatic,8,Sweden,1.41
DreamHack 2014,Team Dignitas,8,Denmark,3.002
DreamHack 2014,Cloud9,12,USA,6.45
DreamHack 2014,Team iBUYPOWER,12,USA,19.98
DreamHack 2014,ESC Gaming,12,Poland,3.114
DreamHack 2014,FlipSid3 Tactics,12,,1.7409999999999999
DreamHack 2014,Bravado Gaming,16,South Africa,3.285
DreamHack 2014,Copenhagen Wolves,16,Denmark,3.63
DreamHack 2014,Planetkey Dynamics,16,Germany,4.33
DreamHack 2014,myXMG,16,Denmark,3.219
