team,ranking
Gambit,1
Immortals,2
Astralis,4
Virtus.pro,4
Fnatic,8
SK Gaming,8
BIG,8
North,8
Cloud9,9
FlipSid3 Tactics,9
G2 Esports,9
Natus Vincere,12
mousesports,12
PENTA Sports,12
FaZe Clan,15
Vega Squadron,15
