team,ranking
Fnatic,1
Ninjas in Pyjamas,2
Virtus.pro,4
Team EnVyUs,4
PENTA Sports,8
Keyd Stars,8
Natus Vincere,8
Team SoloMid,8
Vox Eminor,12
LGB eSports,12
Counter Logic Gaming,12
Cloud9,12
FlipSid3 Tactics,16
Titan,16
HellRaisers,16
3DMAX,16
