team,ranking
Ninjas in Pyjamas,1
Fnatic,2
Team Dignitas,4
Team LDLC.com,4
Natus Vincere,8
Epsilon eSports,8
Virtus.pro,8
Cloud9,8
HellRaisers,12
Copenhagen Wolves,12
Team iBUYPOWER,12
Titan,12
Team Wolf,16
London Conspiracy,16
dAT Team,16
Vox Eminor,16
