team,ranking
Team LDLC.com,1
Ninjas in Pyjamas,2
Virtus.pro,4
Natus Vincere,4
HellRaisers,8
PENTA Sports,8
Fnatic,8
Team Dignitas,8
Cloud9,12
Team iBUYPOWER,12
ESC Gaming,12
FlipSid3 Tactics,12
Bravado Gaming,16
Copenhagen Wolves,16
Planetkey Dynamics,16
myXMG,16
