team,ranking
Team EnVyUs,1
Natus Vincere,2
G2 Esports,4
Ninjas in Pyjamas,4
Fnatic,8
Virtus.pro,8
Team SoloMid,8
Luminosity,8
Cloud9,12
mousesports,12
Titan,12
CLG,12
Vexed Gaming,16
FlipSid3 Tactics,16
Team Liquid,16
Team Dignitas,16
