team,ranking
Fnatic,1
Team EnVyUs,2
Team SoloMid,4
Virtus.pro,4
Natus Vincere,8
Team Kinguin,8
Ninjas in Pyjamas,8
Luminosity,8
Counter Logic Gaming,12
Cloud9,12
Renegades,12
FlipSid3 Tactics,12
Team eBettle,16
Team Immunity,16
Titan,16
mousesports,16
