team,ranking
Cloud9,1
FaZe Clan,2
Natus Vincere,4
SK Gaming,4
mousesports,8
QB Fire,8
G2 Esports,8
Fnatic,8
Space Soldiers,9
Gambit,9
Vega Squadron,9
Team Liquid,12
Astralis,12
BIG,12
North,15
Virtus.pro,15
