team,ranking
Luminosity,1
Natus Vincere,2
Astralis,4
Team Liquid,4
Ninjas in Pyjamas,8
Fnatic,8
Counter Logic G.,8
Virtus.pro,8
mousesports,12
FaZe Clan,12
Gambit Gaming,12
G2 Esports,12
FlipSid3 Tactics,16
Splyce,16
Team EnVyUs,16
Cloud9,16
