team	ranking
Astralis	1
Virtus.Pro	2
Fnatic	4
SK Gaming	4
Natus Vincere	8
Gambit Gaming	8
North	8
FaZe Clan	8
Team EnVyUs	11
GODSENT	11
Team Liquid	11
OpTic Gaming	14
G2 Esports	14
mousesports	14
Flipsid3 Tactics	16
HellRaisers	16
