team,ranking
Astralis,1
Natus Vincere,2
MIBR,4
Team Liquid,4
compLexity,8
BIG,8
HellRaisers,8
FaZe Clan,8
Ninjas in Pyjamas,9
Fnatic,9
G2 Esports,9
Vega Squadron,12
Cloud9,12
TYLOO,12
Winstrike Team,15
mousesports,15
